charge,mass,radius,x,y,z
1,22.99,1,16.691428571428574,12.568571428571431,20.814285714285717
-1,35.453,1,18.752857142857145,14.630000000000003,22.875714285714288
1,22.99,1,16.691428571428574,12.568571428571431,24.937142857142863
-1,35.453,1,18.752857142857145,14.630000000000003,26.998571428571434
1,22.99,1,16.691428571428574,16.691428571428574,0.2
-1,35.453,1,18.752857142857145,18.752857142857145,2.261428571428572
1,22.99,1,16.691428571428574,16.691428571428574,4.322857142857144
-1,35.453,1,18.752857142857145,18.752857142857145,6.384285714285716
1,22.99,1,16.691428571428574,16.691428571428574,8.445714285714287
-1,35.453,1,18.752857142857145,18.752857142857145,10.507142857142858
1,22.99,1,16.691428571428574,16.691428571428574,12.568571428571431
-1,35.453,1,18.752857142857145,18.752857142857145,14.630000000000003
1,22.99,1,16.691428571428574,16.691428571428574,16.691428571428574
-1,35.453,1,18.752857142857145,18.752857142857145,18.752857142857145
1,22.99,1,16.691428571428574,16.691428571428574,20.814285714285717
-1,35.453,1,18.752857142857145,18.752857142857145,22.875714285714288
1,22.99,1,16.691428571428574,16.691428571428574,24.937142857142863
-1,35.453,1,18.752857142857145,18.752857142857145,26.998571428571434
1,22.99,1,16.691428571428574,20.814285714285717,0.2
-1,35.453,1,18.752857142857145,22.875714285714288,2.261428571428572
1,22.99,1,16.691428571428574,20.814285714285717,4.322857142857144
-1,35.453,1,18.752857142857145,22.875714285714288,6.384285714285716
1,22.99,1,16.691428571428574,20.814285714285717,8.445714285714287
-1,35.453,1,18.752857142857145,22.875714285714288,10.507142857142858
1,22.99,1,16.691428571428574,20.814285714285717,12.568571428571431
-1,35.453,1,18.752857142857145,22.875714285714288,14.630000000000003
1,22.99,1,16.691428571428574,20.814285714285717,16.691428571428574
-1,35.453,1,18.752857142857145,22.875714285714288,18.752857142857145
1,22.99,1,16.691428571428574,20.814285714285717,20.814285714285717
-1,35.453,1,18.752857142857145,22.875714285714288,22.875714285714288
1,22.99,1,16.691428571428574,20.814285714285717,24.937142857142863
-1,35.453,1,18.752857142857145,22.875714285714288,26.998571428571434
1,22.99,1,16.691428571428574,24.937142857142863,0.2
-1,35.453,1,18.752857142857145,26.998571428571434,2.261428571428572
1,22.99,1,16.691428571428574,24.937142857142863,4.322857142857144
-1,35.453,1,18.752857142857145,26.998571428571434,6.384285714285716
1,22.99,1,16.691428571428574,24.937142857142863,8.445714285714287
-1,35.453,1,18.752857142857145,26.998571428571434,10.507142857142858
1,22.99,1,16.691428571428574,24.937142857142863,12.568571428571431
-1,35.453,1,18.752857142857145,26.998571428571434,14.630000000000003
1,22.99,1,16.691428571428574,24.937142857142863,16.691428571428574
-1,35.453,1,18.752857142857145,26.998571428571434,18.752857142857145
1,22.99,1,16.691428571428574,24.937142857142863,20.814285714285717
-1,35.453,1,18.752857142857145,26.998571428571434,22.875714285714288
1,22.99,1,16.691428571428574,24.937142857142863,24.937142857142863
-1,35.453,1,18.752857142857145,26.998571428571434,26.998571428571434
1,22.99,1,20.814285714285717,0.2,0.2
-1,35.453,1,22.875714285714288,2.261428571428572,2.261428571428572
1,22.99,1,20.814285714285717,0.2,4.322857142857144
-1,35.453,1,22.875714285714288,2.261428571428572,6.384285714285716
1,22.99,1,20.814285714285717,0.2,8.445714285714287
-1,35.453,1,22.875714285714288,2.261428571428572,10.507142857142858
1,22.99,1,20.814285714285717,0.2,12.568571428571431
-1,35.453,1,22.875714285714288,2.261428571428572,14.630000000000003
1,22.99,1,20.814285714285717,0.2,16.691428571428574
-1,35.453,1,22.875714285714288,2.261428571428572,18.752857142857145
1,22.99,1,20.814285714285717,0.2,20.814285714285717
-1,35.453,1,22.875714285714288,2.261428571428572,22.875714285714288
1,22.99,1,20.814285714285717,0.2,24.937142857142863
-1,35.453,1,22.875714285714288,2.261428571428572,26.998571428571434
1,22.99,1,20.814285714285717,4.322857142857144,0.2
-1,35.453,1,22.875714285714288,6.384285714285716,2.261428571428572
1,22.99,1,20.814285714285717,4.322857142857144,4.322857142857144
-1,35.453,1,22.875714285714288,6.384285714285716,6.384285714285716
1,22.99,1,20.814285714285717,4.322857142857144,8.445714285714287
-1,35.453,1,22.875714285714288,6.384285714285716,10.507142857142858
1,22.99,1,20.814285714285717,4.322857142857144,12.568571428571431
-1,35.453,1,22.875714285714288,6.384285714285716,14.630000000000003
1,22.99,1,20.814285714285717,4.322857142857144,16.691428571428574
-1,35.453,1,22.875714285714288,6.384285714285716,18.752857142857145
1,22.99,1,20.814285714285717,4.322857142857144,20.814285714285717
-1,35.453,1,22.875714285714288,6.384285714285716,22.875714285714288
1,22.99,1,20.814285714285717,4.322857142857144,24.937142857142863
-1,35.453,1,22.875714285714288,6.384285714285716,26.998571428571434
1,22.99,1,20.814285714285717,8.445714285714287,0.2
-1,35.453,1,22.875714285714288,10.507142857142858,2.261428571428572
1,22.99,1,20.814285714285717,8.445714285714287,4.322857142857144
-1,35.453,1,22.875714285714288,10.507142857142858,6.384285714285716
1,22.99,1,20.814285714285717,8.445714285714287,8.445714285714287
-1,35.453,1,22.875714285714288,10.507142857142858,10.507142857142858
1,22.99,1,20.814285714285717,8.445714285714287,12.568571428571431
-1,35.453,1,22.875714285714288,10.507142857142858,14.630000000000003
1,22.99,1,20.814285714285717,8.445714285714287,16.691428571428574
-1,35.453,1,22.875714285714288,10.507142857142858,18.752857142857145
1,22.99,1,20.814285714285717,8.445714285714287,20.814285714285717
-1,35.453,1,22.875714285714288,10.507142857142858,22.875714285714288
1,22.99,1,20.814285714285717,8.445714285714287,24.937142857142863
-1,35.453,1,22.875714285714288,10.507142857142858,26.998571428571434
1,22.99,1,20.814285714285717,12.568571428571431,0.2
-1,35.453,1,22.875714285714288,14.630000000000003,2.261428571428572
1,22.99,1,20.814285714285717,12.568571428571431,4.322857142857144
-1,35.453,1,22.875714285714288,14.630000000000003,6.384285714285716
1,22.99,1,20.814285714285717,12.568571428571431,8.445714285714287
-1,35.453,1,22.875714285714288,14.630000000000003,10.507142857142858
1,22.99,1,20.814285714285717,12.568571428571431,12.568571428571431
-1,35.453,1,22.875714285714288,14.630000000000003,14.630000000000003
1,22.99,1,20.814285714285717,12.568571428571431,16.691428571428574
-1,35.453,1,22.875714285714288,14.630000000000003,18.752857142857145
1,22.99,1,20.814285714285717,12.568571428571431,20.814285714285717
-1,35.453,1,22.875714285714288,14.630000000000003,22.875714285714288
1,22.99,1,20.814285714285717,12.568571428571431,24.937142857142863
-1,35.453,1,22.875714285714288,14.630000000000003,26.998571428571434
1,22.99,1,20.814285714285717,16.691428571428574,0.2
-1,35.453,1,22.875714285714288,18.752857142857145,2.261428571428572
1,22.99,1,20.814285714285717,16.691428571428574,4.322857142857144
-1,35.453,1,22.875714285714288,18.752857142857145,6.384285714285716
1,22.99,1,20.814285714285717,16.691428571428574,8.445714285714287
-1,35.453,1,22.875714285714288,18.752857142857145,10.507142857142858
1,22.99,1,20.814285714285717,16.691428571428574,12.568571428571431
-1,35.453,1,22.875714285714288,18.752857142857145,14.630000000000003
1,22.99,1,20.814285714285717,16.691428571428574,16.691428571428574
-1,35.453,1,22.875714285714288,18.752857142857145,18.752857142857145
1,22.99,1,20.814285714285717,16.691428571428574,20.814285714285717
-1,35.453,1,22.875714285714288,18.752857142857145,22.875714285714288
1,22.99,1,20.814285714285717,16.691428571428574,24.937142857142863
-1,35.453,1,22.875714285714288,18.752857142857145,26.998571428571434
1,22.99,1,20.814285714285717,20.814285714285717,0.2
-1,35.453,1,22.875714285714288,22.875714285714288,2.261428571428572
1,22.99,1,20.814285714285717,20.814285714285717,4.322857142857144
-1,35.453,1,22.875714285714288,22.875714285714288,6.384285714285716
1,22.99,1,20.814285714285717,20.814285714285717,8.445714285714287
-1,35.453,1,22.875714285714288,22.875714285714288,10.507142857142858
1,22.99,1,20.814285714285717,20.814285714285717,12.568571428571431
-1,35.453,1,22.875714285714288,22.875714285714288,14.630000000000003
1,22.99,1,20.814285714285717,20.814285714285717,16.691428571428574
-1,35.453,1,22.875714285714288,22.875714285714288,18.752857142857145
1,22.99,1,20.814285714285717,20.814285714285717,20.814285714285717
-1,35.453,1,22.875714285714288,22.875714285714288,22.875714285714288
1,22.99,1,20.814285714285717,20.814285714285717,24.937142857142863
-1,35.453,1,22.875714285714288,22.875714285714288,26.998571428571434
1,22.99,1,20.814285714285717,24.937142857142863,0.2
-1,35.453,1,22.875714285714288,26.998571428571434,2.261428571428572
1,22.99,1,20.814285714285717,24.937142857142863,4.322857142857144
-1,35.453,1,22.875714285714288,26.998571428571434,6.384285714285716
1,22.99,1,20.814285714285717,24.937142857142863,8.445714285714287
-1,35.453,1,22.875714285714288,26.998571428571434,10.507142857142858
1,22.99,1,20.814285714285717,24.937142857142863,12.568571428571431
-1,35.453,1,22.875714285714288,26.998571428571434,14.630000000000003
1,22.99,1,20.814285714285717,24.937142857142863,16.691428571428574
-1,35.453,1,22.875714285714288,26.998571428571434,18.752857142857145
1,22.99,1,20.814285714285717,24.937142857142863,20.814285714285717
-1,35.453,1,22.875714285714288,26.998571428571434,22.875714285714288
1,22.99,1,20.814285714285717,24.937142857142863,24.937142857142863
-1,35.453,1,22.875714285714288,26.998571428571434,26.998571428571434
1,22.99,1,24.937142857142863,0.2,0.2
-1,35.453,1,26.998571428571434,2.261428571428572,2.261428571428572
1,22.99,1,24.937142857142863,0.2,4.322857142857144
-1,35.453,1,26.998571428571434,2.261428571428572,6.384285714285716
1,22.99,1,24.937142857142863,0.2,8.445714285714287
-1,35.453,1,26.998571428571434,2.261428571428572,10.507142857142858
1,22.99,1,24.937142857142863,0.2,12.568571428571431
-1,35.453,1,26.998571428571434,2.261428571428572,14.630000000000003
1,22.99,1,24.937142857142863,0.2,16.691428571428574
-1,35.453,1,26.998571428571434,2.261428571428572,18.752857142857145
1,22.99,1,24.937142857142863,0.2,20.814285714285717
-1,35.453,1,26.998571428571434,2.261428571428572,22.875714285714288
1,22.99,1,24.937142857142863,0.2,24.937142857142863
-1,35.453,1,26.998571428571434,2.261428571428572,26.998571428571434
1,22.99,1,24.937142857142863,4.322857142857144,0.2
-1,35.453,1,26.998571428571434,6.384285714285716,2.261428571428572
1,22.99,1,24.937142857142863,4.322857142857144,4.322857142857144
-1,35.453,1,26.998571428571434,6.384285714285716,6.384285714285716
1,22.99,1,24.937142857142863,4.322857142857144,8.445714285714287
-1,35.453,1,26.998571428571434,6.384285714285716,10.507142857142858
1,22.99,1,24.937142857142863,4.322857142857144,12.568571428571431
-1,35.453,1,26.998571428571434,6.384285714285716,14.630000000000003
1,22.99,1,24.937142857142863,4.322857142857144,16.691428571428574
-1,35.453,1,26.998571428571434,6.384285714285716,18.752857142857145
1,22.99,1,24.937142857142863,4.322857142857144,20.814285714285717
-1,35.453,1,26.998571428571434,6.384285714285716,22.875714285714288
1,22.99,1,24.937142857142863,4.322857142857144,24.937142857142863
-1,35.453,1,26.998571428571434,6.384285714285716,26.998571428571434
1,22.99,1,24.937142857142863,8.445714285714287,0.2
-1,35.453,1,26.998571428571434,10.507142857142858,2.261428571428572
1,22.99,1,24.937142857142863,8.445714285714287,4.322857142857144
-1,35.453,1,26.998571428571434,10.507142857142858,6.384285714285716
1,22.99,1,24.937142857142863,8.445714285714287,8.445714285714287
-1,35.453,1,26.998571428571434,10.507142857142858,10.507142857142858
1,22.99,1,24.937142857142863,8.445714285714287,12.568571428571431
-1,35.453,1,26.998571428571434,10.507142857142858,14.630000000000003
1,22.99,1,24.937142857142863,8.445714285714287,16.691428571428574
-1,35.453,1,26.998571428571434,10.507142857142858,18.752857142857145
1,22.99,1,24.937142857142863,8.445714285714287,20.814285714285717
-1,35.453,1,26.998571428571434,10.507142857142858,22.875714285714288
1,22.99,1,24.937142857142863,8.445714285714287,24.937142857142863
-1,35.453,1,26.998571428571434,10.507142857142858,26.998571428571434
1,22.99,1,24.937142857142863,12.568571428571431,0.2
-1,35.453,1,26.998571428571434,14.630000000000003,2.261428571428572
1,22.99,1,24.937142857142863,12.568571428571431,4.322857142857144
-1,35.453,1,26.998571428571434,14.630000000000003,6.384285714285716
1,22.99,1,24.937142857142863,12.568571428571431,8.445714285714287
-1,35.453,1,26.998571428571434,14.630000000000003,10.507142857142858
1,22.99,1,24.937142857142863,12.568571428571431,12.568571428571431
-1,35.453,1,26.998571428571434,14.630000000000003,14.630000000000003
1,22.99,1,24.937142857142863,12.568571428571431,16.691428571428574
-1,35.453,1,26.998571428571434,14.630000000000003,18.752857142857145
1,22.99,1,24.937142857142863,12.568571428571431,20.814285714285717
-1,35.453,1,26.998571428571434,14.630000000000003,22.875714285714288
1,22.99,1,24.937142857142863,12.568571428571431,24.937142857142863
-1,35.453,1,26.998571428571434,14.630000000000003,26.998571428571434
1,22.99,1,24.937142857142863,16.691428571428574,0.2
-1,35.453,1,26.998571428571434,18.752857142857145,2.261428571428572
1,22.99,1,24.937142857142863,16.691428571428574,4.322857142857144
-1,35.453,1,26.998571428571434,18.752857142857145,6.384285714285716
1,22.99,1,24.937142857142863,16.691428571428574,8.445714285714287
-1,35.453,1,26.998571428571434,18.752857142857145,10.507142857142858
1,22.99,1,24.937142857142863,16.691428571428574,12.568571428571431
-1,35.453,1,26.998571428571434,18.752857142857145,14.630000000000003
1,22.99,1,24.937142857142863,16.691428571428574,16.691428571428574
-1,35.453,1,26.998571428571434,18.752857142857145,18.752857142857145
1,22.99,1,24.937142857142863,16.691428571428574,20.814285714285717
-1,35.453,1,26.998571428571434,18.752857142857145,22.875714285714288
1,22.99,1,24.937142857142863,16.691428571428574,24.937142857142863
-1,35.453,1,26.998571428571434,18.752857142857145,26.998571428571434
1,22.99,1,24.937142857142863,20.814285714285717,0.2
-1,35.453,1,26.998571428571434,22.875714285714288,2.261428571428572
1,22.99,1,24.937142857142863,20.814285714285717,4.322857142857144
-1,35.453,1,26.998571428571434,22.875714285714288,6.384285714285716
1,22.99,1,24.937142857142863,20.814285714285717,8.445714285714287
-1,35.453,1,26.998571428571434,22.875714285714288,10.507142857142858
1,22.99,1,24.937142857142863,20.814285714285717,12.568571428571431
-1,35.453,1,26.998571428571434,22.875714285714288,14.630000000000003
1,22.99,1,24.937142857142863,20.814285714285717,16.691428571428574
-1,35.453,1,26.998571428571434,22.875714285714288,18.752857142857145
1,22.99,1,24.937142857142863,20.814285714285717,20.814285714285717
-1,35.453,1,26.998571428571434,22.875714285714288,22.875714285714288
1,22.99,1,24.937142857142863,20.814285714285717,24.937142857142863
-1,35.453,1,26.998571428571434,22.875714285714288,26.998571428571434
1,22.99,1,24.937142857142863,24.937142857142863,0.2
-1,35.453,1,26.998571428571434,26.998571428571434,2.261428571428572
1,22.99,1,24.937142857142863,24.937142857142863,4.322857142857144
-1,35.453,1,26.998571428571434,26.998571428571434,6.384285714285716
1,22.99,1,24.937142857142863,24.937142857142863,8.445714285714287
-1,35.453,1,26.998571428571434,26.998571428571434,10.507142857142858
1,22.99,1,24.937142857142863,24.937142857142863,12.568571428571431
-1,35.453,1,26.998571428571434,26.998571428571434,14.630000000000003
1,22.99,1,24.937142857142863,24.937142857142863,16.691428571428574
-1,35.453,1,26.998571428571434,26.998571428571434,18.752857142857145
1,22.99,1,24.937142857142863,24.937142857142863,20.814285714285717
-1,35.453,1,26.998571428571434,26.998571428571434,22.875714285714288
1,22.99,1,24.937142857142863,24.937142857142863,24.937142857142863
-1,35.453,1,26.998571428571434,26.998571428571434,26.998571428571434
